luminance,p
0,0.001966
1,0.003133
2,0.003034
3,0.004869
4,0.004117
5,0.004430
6,0.004183
7,0.006079
8,0.000953
9,0.006744
10,0.000434
11,0.009148
12,0.000209
13,0.000065
14,0.013189
15,0.000080
16,0.007831
17,0.000043
18,0.000014
19,0.010518
20,0.000019
21,0.000003
22,0.009517
23,0.000005
24,0.000002
25,0.014401
26,0.000002
27,0.000001
28,0.000000
29,0.015619
30,0.000002
31,0.000000
32,0.011666
33,0.000000
34,0.000000
35,0.012087
36,0.000001
37,0.000000
38,0.000000
39,0.013821
40,0.000000
41,0.000000
42,0.012124
43,0.000002
44,0.000000
45,0.000000
46,0.014527
47,0.000002
48,0.000000
49,0.000000
50,0.017238
51,0.000000
52,0.000000
53,0.010601
54,0.000000
55,0.009983
56,0.000000
57,0.000000
58,0.008836
59,0.000000
60,0.009442
61,0.000000
62,0.000000
63,0.010355
64,0.000000
65,0.008663
66,0.000004
67,0.009410
68,0.000000
69,0.000000
70,0.010557
71,0.000000
72,0.010075
73,0.000001
74,0.000000
75,0.011250
76,0.000003
77,0.000000
78,0.010816
79,0.000005
80,0.000000
81,0.010952
82,0.000003
83,0.000000
84,0.000000
85,0.015936
86,0.000006
87,0.000000
88,0.000000
89,0.014083
90,0.000004
91,0.000000
92,0.013968
93,0.000000
94,0.000000
95,0.000000
96,0.015733
97,0.000013
98,0.000000
99,0.012531
100,0.000000
101,0.000000
102,0.010278
103,0.000002
104,0.008689
105,0.000002
106,0.007977
107,0.000000
108,0.007371
109,0.000002
110,0.007534
111,0.000000
112,0.008250
113,0.000004
114,0.007893
115,0.000000
116,0.007820
117,0.000000
118,0.000000
119,0.009924
120,0.000002
121,0.008096
122,0.000000
123,0.007240
124,0.000001
125,0.007948
126,0.000002
127,0.009498
128,0.000000
129,0.000000
130,0.000000
131,0.000000
132,0.021255
133,0.000002
134,0.006927
135,0.000002
136,0.006133
137,0.005923
138,0.000001
139,0.005940
140,0.005706
141,0.000004
142,0.006080
143,0.000000
144,0.006855
145,0.007290
146,0.000001
147,0.006725
148,0.000002
149,0.007895
150,0.000001
151,0.008227
152,0.000003
153,0.008849
154,0.000002
155,0.000002
156,0.009566
157,0.000002
158,0.008856
159,0.000002
160,0.000003
161,0.009190
162,0.000006
163,0.011342
164,0.000002
165,0.000002
166,0.000004
167,0.012507
168,0.000003
169,0.000002
170,0.000005
171,0.018361
172,0.000002
173,0.000004
174,0.000004
175,0.000010
176,0.018276
177,0.000008
178,0.000015
179,0.012793
180,0.000005
181,0.000014
182,0.010809
183,0.000007
184,0.000015
185,0.011496
186,0.000011
187,0.000011
188,0.011383
189,0.000012
190,0.000015
191,0.013062
192,0.000009
193,0.000019
194,0.011540
195,0.000015
196,0.000030
197,0.011078
198,0.000020
199,0.000046
200,0.011295
201,0.000035
202,0.000069
203,0.013119
204,0.000011
205,0.000034
206,0.000102
207,0.013122
208,0.000066
209,0.000506
210,0.011252
211,0.000077
212,0.001442
213,0.012332
214,0.000056
215,0.000175
216,0.001732
217,0.012173
218,0.000063
219,0.001563
220,0.002834
221,0.013448
222,0.001841
223,0.005987
224,0.004251
225,0.001641
226,0.007135
227,0.002192
228,0.003212
229,0.006881
230,0.006324
231,0.003151
232,0.005557
233,0.006551
234,0.001493
235,0.006231
236,0.006371
237,0.002485
238,0.004752
239,0.005473
240,0.001234
241,0.002232
242,0.012694
243,0.007011
244,0.003393
245,0.003324
246,0.003439
247,0.002395
248,0.002185
249,0.002564
250,0.002078
251,0.001437
252,0.000599
253,0.000149
254,0.000002
255,0.000000
